model;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;#Constraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfClauses;NumberOfLiterals;ClauseDensity;RatioOptionalFeatures;ConnectivityDensity;Void;#CORE;#Dead;NumberOfValidConfigurations;SimpleCyclomaticComplexity;IndependentCyclomaticComplexity
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aaed2000/Berger2013.uvl;1285;1284;1284;50512;6.76270985112449;39.3089494163424;0.999221789883269;2;1284;51797;246500;0.210129817444219;0.975875486381323;3237;true;31;31;-2;1945;1763
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aaed2000/Knüppel2017.uvl;1298;992;34;904;3.08185840707965;0.696456086286595;0.821263482280431;8;4.23856209150327;3036;6275;0.483824701195219;0.959938366718028;1984;true;6;6;2.30482601227824E+133;685;652
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/adder/Berger2013.uvl;1273;1272;1272;3201;2.64729771946267;2.51453260015711;0.999214454045562;2;1272;4474;10144;0.441048895899054;0.979575805184603;3177;true;26;26;-2;1897;1720
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/adder/Knüppel2017.uvl;1285;979;31;890;3.02808988764045;0.692607003891051;0.845136186770428;7;4.19607843137255;3037;6222;0.488106718097075;0.965758754863813;1937;true;6;6;8.31015675038643E+124;651;622
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/adderII/Berger2013.uvl;1277;1276;1276;3206;2.64628820960699;2.5105716523101;0.999216914643696;2;1276;4483;10162;0.441153316276324;0.9796397807361;3184;true;26;26;-2;1900;1725
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/adderII/Knüppel2017.uvl;1289;982;31;890;3.03033707865169;0.690457719162141;0.844840961986036;7;4.19543973941368;3044;6236;0.488133418858242;0.965865011636928;1940;true;6;6;3.00396513226109E+125;650;624
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aeb/Berger2013.uvl;1214;1213;1213;3767;3.9490310591983;3.10296540362438;0.999176276771005;2;1213;4981;13366;0.372661978153524;0.978583196046129;3065;true;26;26;-2;1845;1673
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aeb/Knüppel2017.uvl;1226;930;31;875;3.04914285714286;0.713703099510604;0.840130505709625;7;4.13851351351351;2886;5954;0.48471615720524;0.950244698205546;1880;true;6;6;5.0765964107258E+121;653;624
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aim711/Berger2013.uvl;1265;1264;1264;3873;3.89723728375936;3.06166007905138;0.999209486166008;2;1264;5138;13684;0.375475007307805;0.977865612648221;3184;true;28;28;-2;1913;1734
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aim711/Knüppel2017.uvl;1277;966;32;912;3.0405701754386;0.714173844949099;0.83868441660141;8;4.10289389067524;3014;6210;0.485346215780998;0.960845732184808;1948;true;6;6;1.47743304306212E+127;670;629
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aki3068net/Berger2013.uvl;1208;1207;1207;3080;2.68603896103896;2.54966887417219;0.999172185430464;2;1207;4288;9793;0.4378637802512;0.978476821192053;3016;true;26;26;-2;1801;1629
/home/chico/fm-collection/feature-model-batch-analysis/../feature-model-benchmark/feature_models/uvl-wo-linux/systems_software/aki3068net/Knüppel2017.uvl;1220;920;32;851;2.98119858989424;0.697540983606557;0.840163934426229;7;4.06333333333333;2859;5863;0.48763431690261;0.962295081967213;1842;true;6;6;2.6409875491998E+121;621;598
